site_id,name,latitude,longitude,n_connectors,max_power_kw,connector_types,operator
HDBHJWVIIWQILFIFLRMV,Ilunion Menorca,39.9426,3.9572399,0,,Unknown,Unknown
UDMY5YOJM8GM38O0B9GH,Ilunion Islantilla,37.20617,-7.2350235,0,,Unknown,Unknown
V3TWAZ3NUNXPVLY0HOEF,Ilunion Les Corts,41.37769,2.1136103,0,,Unknown,Unknown
9QODVYMWAGES0OZLKYUD,Ilunion Málaga,36.710575,-4.42736,0,,Unknown,Unknown
21N6W2RZTCJH4TG0FQXE,Ilunion San Sebastián,43.314106,-2.004313,0,,Unknown,Unknown
CFVDL4DT3H6XK35C2UHZ,Ilunion Pio XII,40.46893,-3.6740122,0,,Unknown,Unknown
GR1YKGHFKWRSED9WQIUP,Ilunion Sancti Petri,36.339813,-6.150579,0,,Unknown,Unknown
MW3HA1PDMN4SQLEUXRCV,Ilunion Valencia 3,39.491634,-0.3982417,0,,Unknown,Unknown
DGITH7CDIZYW4JPR0PHH,Ilunion Valencia 4,39.491264,-0.3979878,0,,Unknown,Unknown
LICEGOZBELD2YKU5OER3,Indie Padel,40.38637,-3.624714,0,,Unknown,Unknown
VNOLEOYYMHGQRUZS0M4D,Mad4Padel,40.46038,-3.80314,0,,Unknown,Unknown
70MZYMSBQ3CXY9CY6GLY,NAR Natural Art Reef,41.133545,1.400986,0,,Unknown,Unknown
KLBAULZTJAOG5YDHJTJ8,La Galiana Golf Resort,39.081516,-0.3543698,0,,Unknown,Unknown
0PFUPMSTQ74LBP7PRKVW,RACE,40.623444,-3.6048968,0,,Unknown,Unknown
5P2DIQUGEIL6CZKSGU9I,Real Club Náutico de Barcelona,41.376545,2.1844053,0,,Unknown,Unknown
KQJTQGHJ2VD2CGEUTMVT,Real Club Sevilla Golf,37.352978,-5.919048,0,,Unknown,Unknown
8G5SGYHV5R0KZSLBAFO9,Real Golf Club de San Sebastián,43.33771,-1.8269306,0,,Unknown,Unknown
F0YXQNAKIZSOUWLG2R8P,Sungrow Pamplona,42.816692,-1.7082847,0,,Unknown,Unknown
PE2TGETFVRON0WMCZSIU,VP Plaza España Design,40.422813,-3.7115445,0,,Unknown,Unknown
GS0G23SEVODCESCJJXL8,COSTCO SEVILLA CENTRO COMERCIAL,37.43349,-5.9709344,0,,Unknown,Unknown
1ST9LXXEE8BAMPXXTFRW,LAG OLEIROS SLU,43.328884,-8.366269,0,,Unknown,Unknown
79RJ9LV07ABCVHN7Y4CK,ESTACION DE SERVICIO LAPIDO,42.86431,-8.629311,0,,Unknown,Unknown
CGJ6GUQEWNSCELYU0QXS,CARREFOUR SAN FERNANDO DE HENARES,40.44953,-3.527738,0,,Unknown,Unknown
MB4GMZPX4V9VWQONHHXS,Alcobendas - Calle Calabozos,40.53064,-3.65194,0,,Unknown,Unknown
QY06175Q7MPJ5PVKIP63,Alcobendas - P.º de la Chopera,40.545616,-3.659228,0,,Unknown,Unknown
2UYRD9IZYTD6NNABSHTO,Alcobendas - Avda. Doctor Severo Ochoa,40.542156,-3.652058,0,,Unknown,Unknown
PVX3EINERZIG1BK7DMRZ,Iberdoex - Salvaleón,38.52,-6.784284,0,,Unknown,Unknown
MPFI9HHDSWEVLQK0EUQ6,Estación bp Arenys de Mar,41.575314,2.542288,0,,Unknown,Unknown
NSASYWZBVX2NTOXGFYDP,Inturasa Pérez Rumbao-Ourense,42.287685,-7.860525,0,,Unknown,Unknown
CV4C6PZS3LZUI9OATFOB,Alcobendas - Plaza de la Moraleja,40.515896,-3.651399,0,,Unknown,Unknown
TPINGQNXCHLWDR2OTKGJ,Estación bonÁrea - Caspe,41.233006,-0.05824,0,,Unknown,Unknown
2YLUPQVP4YSPKS3J4NO0,"Alcobendas - C. de la Constitución, 106",40.547207,-3.645207,0,,Unknown,Unknown
S41HHXNVTOZ5LZTAIKSU,Estación bp Mazarrón Park,37.57301,-1.26922,0,,Unknown,Unknown
ZGJ0TZ4NEXFRDQZOIDVQ,Hotel Las Talliscas,40.02414,-6.595197,0,,Unknown,Unknown
FFCF5RCKJQKM7SPCH4CW,Estación bonÁrea - Tora,41.807613,1.403006,0,,Unknown,Unknown
DZHNYET6OBCXTJXGMGF8,Estación bonÁrea - Ponts,41.906887,1.193059,0,,Unknown,Unknown
XP2XXYHN0WLAZ0BLSCZD,Estación bp Rally Moll,42.25562,3.182341,0,,Unknown,Unknown
9OU5EIJFNFHPNWMXWBE8,Estación bp Faro de Cullera,39.1727,-0.2612,0,,Unknown,Unknown
NBTQA1KWMOSR8EJQ1GZO,"Carrer Hort de Ses Ànimes, 23 - Llevant",39.567226,2.685264,0,,Unknown,Unknown
IXTX6KRQ4NQALKI4FUVL,Hiperber Distribución y Logística - Novelda,38.382263,-0.760926,0,,Unknown,Unknown
HXRHY27ZPOLVJTX1HTBS,Parking interior Puerto Portals,39.53245,2.56985,0,,Unknown,Unknown
VXLREBJWOOUTEHDGLBAI,Puerto Portals - Torre Capitanía,39.530163,2.565452,0,,Unknown,Unknown
